tweet_id,retweeter,tweeter
7.45877E+17,Dwalingen,ElizabethHurley
7.45877E+17,StrongerInPress,lucycthomas
7.45877E+17,Dwalingen,vote_leave
7.45877E+17,Dwalingen,vote_leave
7.45877E+17,Dwalingen,WestCapeTribune
7.45877E+17,Dwalingen,RemainShame
7.45877E+17,StrongerIn,UKLabour
7.45878E+17,JeremyCorbyn4PM,jeremycorbyn
7.45878E+17,Dwalingen,b_shakespeare
7.45878E+17,vote_leave,CllrAlexBright
7.45878E+17,Dwalingen,WhittleseyOne
7.45878E+17,LeaveEUOfficial,Ian_Fry
7.45878E+17,Dwalingen,ira_tenax
7.45878E+17,Australiaunwra6,Australiaunwra6
7.45878E+17,Dwalingen,davidicke
7.45879E+17,vote_leave,struanmackie
7.45879E+17,LeaveEUOfficial,RossThomsonTory
7.45879E+17,vote_leave,wallaceme
7.45879E+17,LeaveEUOfficial,HenrySmithMP
7.45879E+17,LeaveEUOfficial,onetokebloke
7.45879E+17,theordinaryman2,WritingSupplier
7.45879E+17,LeaveEUOfficial,williamdbatesuk
7.45879E+17,theordinaryman2,OpenBritain
7.45879E+17,theordinaryman2,OpenBritain
7.4588E+17,StrongerIn,StrongerInPress
7.4588E+17,StrongerIn,EmmaReynoldsMP
7.45881E+17,Leavethe_EU,BolsoverBeast
7.45882E+17,sturdyAlex,sturdyAlex
7.45882E+17,theordinaryman2,theordinaryman2
7.45882E+17,StrongerIn,kezdugdale
7.45882E+17,StrongerIn,wdjstraw
7.45882E+17,HonourCovenant,HonourCovenant
7.45882E+17,vote_leave,_michaelhope
7.45882E+17,RT_com,RT_Deutsch
7.45882E+17,RT_com,Ruptly
7.45883E+17,Patriotic_Brit,GrahamPlums
7.45883E+17,PlayBuddMansion,junayed_
7.45883E+17,Telegraph,Telegraph
7.45883E+17,TelePolitics,Telegraph
7.45884E+17,HonourCovenant,HonourCovenant
7.45884E+17,HonourCovenant,HonourCovenant
7.45884E+17,LeaveEUOfficial,simplysimontfa
7.45884E+17,vote_leave,RHendron
7.45884E+17,vote_leave,Cllr_Mike_Green
7.45884E+17,Australiaunwra6,BBalings
7.45885E+17,Alexicon83,BritsLovePolls
7.45885E+17,Australiaunwra6,Australiaunwra6
7.45885E+17,Alexicon83,cllrjoeporter
7.45885E+17,HonourCovenant,HonourCovenant
7.45885E+17,HonourCovenant,HonourCovenant
7.45885E+17,Patriotic_Brit,TotesGoated
7.45885E+17,theordinaryman2,theordinaryman2
7.45885E+17,LouiseMensch,WeirdLittleHen
7.45885E+17,LouiseMensch,labourleave
7.45885E+17,JeremyCorbyn4PM,Marshajane
7.45885E+17,theordinaryman2,theordinaryman2
7.45885E+17,LouiseMensch,labourleave
7.45885E+17,theordinaryman2,theordinaryman2
7.45885E+17,JeremyCorbyn4PM,jeremycorbyn
7.45885E+17,JeremyCorbyn4PM,Marshajane
